Channel,Datatype,Unit,Length,Minimum,Maximum,Description,Hourly_Calc,Index,Location,Slot,System,Type,Units,Remove
Manifold-Hot Flow,DT_DOUBLE,,1438,,,,Diff,0,Base,3,DHW,Flw,Gal,
Manifold-Cold Flow,DT_DOUBLE,,1438,,,,Diff,1,Base,3,DHW,Flw,Gal,
MixValve - Cold Flow,DT_DOUBLE,,1438,,,,Diff,2,Base,3,DHW,Flw,Gal,
Clothes Washer - Hot Flow,DT_DOUBLE,,1438,,,,Diff,3,Base,3,DHW,Flw,Gal,
Clothes Washer  - Cold Flow,DT_DOUBLE,,1438,,,,Diff,4,Base,3,DHW,Flw,Gal,
Dishwasher - Hot Flow,DT_DOUBLE,,1438,,,,Diff,5,Base,3,DHW,Flw,Gal,
Room Temp - Basement HPWH ,DT_DOUBLE,,1438,,,,Avg,4,Base,6,DHW,T,C,
Water Temp - Manifold Cold In,DT_DOUBLE,,1438,,,,Min,0,Base,8,DHW,T,C,
Water Temp - Manifold Hot In,DT_DOUBLE,,1438,,,,Max,1,Base,8,DHW,T,C,
Water Temp - K Sink - Cold,DT_DOUBLE,,1438,,,,Min,2,K,8,DHW,T,C,
Water Temp - K Sink - Hot,DT_DOUBLE,,1438,,,,Max,3,K,8,DHW,T,C,
Water Temp - Dishwasher,DT_DOUBLE,,1438,,,,Max,4,K,8,DHW,T,C,
Water Temp - Washer Cold,DT_DOUBLE,,1438,,,,Min,9,K,8,DHW,T,C,
Water Temp - Washer Hot,DT_DOUBLE,,1438,,,,Max,10,K,8,DHW,T,C,
Water Temp - MBA SinkR Hot,DT_DOUBLE,,1438,,,,Max,13,MBA,8,DHW,T,C,
Water Temp - MBA SinkR Cold,DT_DOUBLE,,1438,,,,Min,14,MBA,8,DHW,T,C,
Water Temp - MBA Shw Hot,DT_DOUBLE,,1438,,,,Max,15,MBA,8,DHW,T,C,
Water Temp - MBA Shw Cold,DT_DOUBLE,,1438,,,,Min,16,MBA,8,DHW,T,C,
Water Temp - MBA Tub Hot,DT_DOUBLE,,1438,,,,Max,17,MBA,8,DHW,T,C,
Water Temp - MBA Tub Cold,DT_DOUBLE,,1438,,,,Min,18,MBA,8,DHW,T,C,
Water Temp - BA2 Sink Hot,DT_DOUBLE,,1438,,,,Max,19,BA2,8,DHW,T,C,
Water Temp - BA2 Sink Cold,DT_DOUBLE,,1438,,,,Min,20,BA2,8,DHW,T,C,
Water Temp - BA2 Shw Hot,DT_DOUBLE,,1438,,,,Max,21,BA2,8,DHW,T,C,
Water Temp - BA2 Shw Cold,DT_DOUBLE,,1438,,,,Min,22,BA2,8,DHW,T,C,
Water Temp - K Sink - Mix,DT_DOUBLE,,1438,,,,Max,23,K,8,DHW,T,C,
Water Temp - MBA Shw Mix,DT_DOUBLE,,1438,,,,Max,24,MBA,8,DHW,T,C,
Water Temp - MBA Tub Mix,DT_DOUBLE,,1438,,,,Max,25,MBA,8,DHW,T,C,
Water Temp - BA2 Sink Mixed,DT_DOUBLE,,1438,,,,Max,26,BA2,8,DHW,T,C,
Water Temp - BA2 Shower Mixed,DT_DOUBLE,,1438,,,,Min,27,BA2,8,DHW,T,C,
Water Temp - MBA Sink-R Mixed,DT_DOUBLE,,1438,,,,Max,28,MBA,8,DHW,T,C,
Water Temp - Solar Preheat Tank (80 gal) In,DT_DOUBLE,,1438,,,,Min,0,Base,9,DHW,T,C,
Water Temp - Solar Preheat Tank (80 gal) Out,DT_DOUBLE,,1438,,,,Max,1,Base,9,DHW,T,C,
Water Temp - MixValve Cold In,DT_DOUBLE,,1438,,,,Min,4,Base,9,DHW,T,C,
Water Temp - MixValve Hot In,DT_DOUBLE,,1438,,,,Max,5,Base,9,DHW,T,C,
Water Temp - SHW HX (80 gal) HX In,DT_DOUBLE,,1438,,,,Max,6,Base,9,DHW,T,C,
Water Temp - SHW HX (80 gal) HX Out,DT_DOUBLE,,1438,,,,Max,7,Base,9,DHW,T,C,
Water Temp - HPWH In,DT_DOUBLE,,1438,,,,Max,10,Base,9,DHW,T,C,
Water Temp - HPWH Out,DT_DOUBLE,,1438,,,,Max,11,Base,9,DHW,T,C,
