"TimeStampCount","TimeStampGPSTime","TimeStampSchedulerTime","TimeStampSystemTime","DHW_ClothesWasherColdFlow","DHW_ClothesWasherHotFlow","DHW_DailySolarfractionf","DHW_DailyTotalHotWaterLoad_QL","DHW_DeliveryTempCW","DHW_DeliveryTempDW","DHW_DeliveryTempKitchenSink","DHW_DeliveryTempMBASink","DHW_DeliveryTempShower","DHW_DeliveryTempTub","DHW_DiSHW_asherHotFlow","DHW_DrawVolumeCW","DHW_DrawVolumeDW","DHW_DrawVolumeKitchenSink","DHW_DrawVolumeMBASink","DHW_DrawVolumeShower","DHW_DrawVolumeTub","DHW_GlycolTempSHW_HX80galHXIn","DHW_GlycolTempSHW_HX80galHXOut","DHW_HeatPumpWaterHeaterEnergyTotal","DHW_HeatPumpWaterHeaterPowerTotal","DHW_HeatpumpwaterheaterenergyQAUX","DHW_HotWaterLoad_CW","DHW_HotWaterLoad_DW","DHW_HotWaterLoad_KitchenSink","DHW_HotWaterLoad_MBASink","DHW_HotWaterLoad_s_hower","DHW_HotWaterLoad_Tub","DHW_KitchenScalelb","DHW_MBAScalelb","DHW_MainsTempDHW","DHW_MainsTempDWCW","DHW_ManifoldColdFlow","DHW_ManifoldHotFlow","DHW_MixValveColdFlow","DHW_OverUnderdraw","DHW_RoomTempBasementHPWH","DHW_SHW_PumpsEnergywithStandby","DHW_SHW_PumpsPowerWithStandby","DHW_SolartankenergyQSOLAR","DHW_StatusSolenoidCold11MBATub","DHW_StatusSolenoidCold12MBAShower","DHW_StatusSolenoidCold4KitchenSink","DHW_StatusSolenoidHot3KitchenSink","DHW_StatusSolenoidHot8MBATub","DHW_StatusSolenoidHot9MBAShower","DHW_StatusDrainTankSolenoidKitchen","DHW_StatusDrainTankSolenoidMBA","DHW_TotalHotWaterLoad_","DHW_WaterTempBA2ShowerMixed","DHW_WaterTempBA2SHW_Cold","DHW_WaterTempBA2SHW_Hot","DHW_WaterTempBA2SinkCold","DHW_WaterTempBA2SinkHot","DHW_WaterTempBA2SinkMixed","DHW_WaterTempDiSHW_asher","DHW_WaterTempHPWHIn","DHW_WaterTempHPWHOut","DHW_WaterTempKSinkCold","DHW_WaterTempKSinkHot","DHW_WaterTempKSinkMix","DHW_WaterTempMBASHW_Cold","DHW_WaterTempMBASHW_Hot","DHW_WaterTempMBASHW_Mix","DHW_WaterTempMBASinkRMixed","DHW_WaterTempMBASinkRCold","DHW_WaterTempMBASinkRHot","DHW_WaterTempMBATubCold","DHW_WaterTempMBATubHot","DHW_WaterTempMBATubMix","DHW_WaterTempManifoldColdIn","DHW_WaterTempManifoldHotIn","DHW_WaterTempMixValveColdIn","DHW_WaterTempMixValveHotIn","DHW_WaterTempSHW_HX80galHXIn","DHW_WaterTempSHW_HX80galHXOut","DHW_WaterTempSolarPreheatTank80galIn","DHW_WaterTempSolarPreheatTank80galOut","DHW_WaterTempWasherCold","DHW_WaterTempWasherHot","ElecTotal_DHW_Energy","ElecTotal_DHW_Power"
2,"1904-01-01 00:00:00+00:00","2015-02-01 05:01:40.284932+00:00","2015-02-01 05:01:50.127143+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7513776562,10.9018785801,0,6.92,0,0,0,0,0,0,0,-0.553760485961,-7.59046404524,0,0,0,0,0,0,20.1931001614,0,3.36,0,0,0,0,0,0,0,0,0,0,19.9780196271,20.2709584094,20.2850227679,21.8660274453,25.3917855735,25.117973136,25.6129269368,23.440619225,49.2229241418,23.4959588396,33.648870377,29.810842082,20.6518229352,20.6122792664,20.0457866052,37.3202492633,-65162.6943055,-65141.9536925,20.7061688247,20.8279516012,19.4154363262,20.7755033227,48.2360955113,20.6021655596,23.1520450141,20.4345357253,20.7160514135,16.3775955478,23.3280394238,22.263716565,22.2856357098,0,13.74
3,"2015-02-01 05:02:50+00:00","2015-02-01 05:02:40.100034+00:00","2015-02-01 05:02:50.127081+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6485195175,10.9181381595,0.132,6.92,0.132,0,0,0,0,0,0,-0.568530613914,-7.69674254728,0,0,0,0,0,0,20.184605621,0.056,3.36,0,0,0,0,0,0,0,0,0,0,19.9429934454,20.1982709369,20.2560798754,21.7792349425,25.2520684291,24.9956822261,25.5633719982,23.3873589066,49.1327957688,23.4631094603,33.3196534461,29.5140930114,20.5717764453,20.549954507,20.014857652,36.9039377824,-65149.4838157,-65126.8738906,20.6571167787,20.7744735899,19.3366728635,20.747111347,47.9831039015,20.5596508192,23.1073547764,20.40646964,20.6719623065,16.6700436497,23.2716845342,22.1971090713,22.2129106459,0.188,13.74
4,"2015-02-01 05:03:50+00:00","2015-02-01 05:03:40.100030+00:00","2015-02-01 05:03:50.127137+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6982628376,10.885454583,0.264,6.92,0.264,0,0,0,0,0,0,-0.568696980692,-7.66030049838,0,0,0,0,0,0,20.1938995845,0.112,3.36,0,0,0,0,0,0,0,0,0,0,19.953540818,20.2123690623,20.2526131103,21.7872111845,25.1504583919,24.8921232575,25.4839908218,23.4969452184,48.8579217716,23.4658568264,33.0637721565,29.3050687736,20.5828527657,20.5525787615,19.9999768693,36.5061835233,-65151.5572866,-65131.6446164,20.6602587298,20.7625715668,19.3858231021,20.7486027238,47.7547782133,20.5574717597,23.0730563781,20.4136797366,20.6687035103,16.9333508007,23.2474935239,22.2198653957,22.2403539491,0.376,13.74
5,"2015-02-01 05:04:50+00:00","2015-02-01 05:04:40.100038+00:00","2015-02-01 05:04:50.100209+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6994789563,10.9449845299,0.396,6.92,0.396,0,0,0,0,0,0,-0.597575826339,-7.72501431474,0,0,0,0,0,0,20.1747012673,0.168,3.36,0,0,0,0,0,0,0,0,0,0,19.9909759534,20.2813781196,20.2886471089,21.8560939595,25.1217063767,24.9003208103,25.5283771097,23.5706197061,48.7765238033,23.5101045171,32.837242585,29.1245594272,20.6696050929,20.6337857252,20.0876158788,36.2254530792,-65169.0963861,-65142.8429477,20.7130914025,20.8293070357,19.4413991338,20.8121065417,47.5872774763,20.6197880365,23.0937724701,20.4644875021,20.7071946686,17.2232389377,23.2743271218,22.2790412069,22.3144421761,0.564,13.74
6,"2015-02-01 05:05:50+00:00","2015-02-01 05:05:40.100035+00:00","2015-02-01 05:05:50.127090+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.69313813,10.9278884294,0.528,6.92,0.528,0,0,0,0,0,0,-0.583491454086,-7.73597286681,0,0,0,0,0,0,20.1871895766,0.224,3.36,0,0,0,0,0,0,0,0,0,0,19.9727275299,20.2305855726,20.2794373823,21.8156091628,24.9852155542,24.7717559875,25.4483593759,23.5847481353,48.5665254211,23.4852598043,32.5958977301,28.9046608809,20.6070619191,20.5837189818,20.0477588375,35.8168208228,-65158.2307508,-65137.5480403,20.6728507805,20.7934626216,19.3931838846,20.7918667316,47.3435156801,20.5907312985,23.0386290034,20.4207141846,20.7036467603,16.9923632851,23.2349616847,22.2514748324,22.2831794618,0.752,13.74
7,"2015-02-01 05:06:50+00:00","2015-02-01 05:06:40.100030+00:00","2015-02-01 05:06:50.127075+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7197122757,10.9275985073,0.66,6.92,0.66,0,0,0,0,0,0,-0.60905919433,-7.8167030285,0,0,0,0,0,0,20.2075423229,0.28,3.36,0,0,0,0,0,0,0,0,0,0,20.0173505152,20.2660038549,20.3215852325,21.8304805458,24.9228098905,24.7131178069,25.408589242,23.4868837442,48.5471065594,23.4849910728,32.3783772175,28.7306195623,20.6211430704,20.5884504698,20.0479128126,35.4968424804,-65163.4743483,-65146.2341019,20.7053225411,20.8275766711,19.4305518215,20.8171231954,47.1112217842,20.6422559785,23.0453558194,20.4528749292,20.7271237753,17.2368172093,23.2181949571,22.2695536432,22.3000722759,0.94,13.74
8,"2015-02-01 05:07:50+00:00","2015-02-01 05:07:40.100029+00:00","2015-02-01 05:07:50.127084+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7007714572,10.9162153114,0.792,6.92,0.792,0,0,0,0,0,0,-0.605813012232,-7.77941801407,0,0,0,0,0,0,20.1887649667,0.336,3.36,0,0,0,0,0,0,0,0,0,0,19.9745500061,20.2441174618,20.2513618344,21.8083016069,24.7871183817,24.6015517839,25.3740978843,23.5605480768,48.151603918,23.4728647709,32.1105674637,28.4968424438,20.6269192548,20.5461348949,20.0459019071,35.1610906029,-65161.7164496,-65133.3885907,20.6991590005,20.7991047862,19.374132404,20.7999647262,46.8523539094,20.6340465119,23.0121488164,20.4476481024,20.7057272341,17.0569311467,23.2177329319,22.2325436462,22.2765341837,1.128,13.74
9,"2015-02-01 05:08:50+00:00","2015-02-01 05:08:40.100032+00:00","2015-02-01 05:08:50.127091+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6794396678,10.9262701743,0.924,6.92,0.924,0,0,0,0,0,0,-0.611526292102,-7.80237261426,0,0,0,0,0,0,20.2035426517,0.392,3.36,0,0,0,0,0,0,0,0,0,0,19.9724982652,20.2624110091,20.2740604542,21.8184831472,24.7161860894,24.5469177019,25.3291478468,23.6084609216,47.7996506466,23.4721852756,31.8993835685,28.3529822606,20.602772275,20.5528608361,20.0287064673,34.8087102307,-65162.8404267,-65137.9896801,20.6989466963,20.804785572,19.4063184227,20.8336774283,46.608797483,20.5807399005,22.9783350946,20.3983349977,20.6671772679,17.0701613715,23.167445404,22.2510577191,22.2871828456,1.316,13.74
10,"2015-02-01 05:09:50+00:00","2015-02-01 05:09:40.100030+00:00","2015-02-01 05:09:50.127083+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6609892855,10.872088052,1.056,6.92,1.056,0,0,0,0,0,0,-0.610714746633,-7.7931648368,0,0,0,0,0,0,20.1971269722,0.448,3.36,0,0,0,0,0,0,0,0,0,0,20.0097730502,20.2641772421,20.3135202834,21.8074984371,24.6637647897,24.4942801873,25.2997445099,23.5949502303,47.8248695654,23.4743627185,31.6938644492,28.1464688865,20.6149262966,20.571662297,20.0486356123,34.4890868321,-65162.7437582,-65143.4262632,20.7014674914,20.8317883453,19.4100697985,20.8155330738,46.4078699875,20.5817048548,22.8836833108,20.3858562228,20.645790885,17.4730174424,23.1016565826,22.2858428895,22.2897903914,1.504,13.74
11,"2015-02-01 05:10:50+00:00","2015-02-01 05:10:40.100029+00:00","2015-02-01 05:10:50.127091+00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.697719763,10.9436449422,1.188,6.92,1.188,0,0,0,0,0,0,-0.601779631609,-7.80483666741,0,0,0,0,0,0,20.2088628622,0.504,3.36,0,0,0,0,0,0,0,0,0,0,19.9434403594,20.257209404,20.2587482538,21.8278349311,24.5878035832,24.395225548,25.2432914446,23.5371520913,47.714900909,23.4642075101,31.4224524694,27.9570380972,20.6118767325,20.5461037163,20.0569072788,34.1628481767,-65166.0019949,-65136.1927268,20.7148359418,20.7867158566,19.4388042728,20.8555144584,46.1254940861,20.641525931,22.9555184764,20.4517204451,20.723895554,17.3496865165,23.1620445923,22.2450287027,22.3014679016,1.692,13.74
