"Data.Label","Subsystem","Measurement.Location","Description","Units","channel","data_subsystem"
"Manifold-Hot Flow","DHW","Basement","The cumulative volume of water flowing into the hot side of the plumbing distribution manifold starting at midnight","Gallons","DHW_ManifoldHotFlow","DHW"
"Manifold-Cold Flow","DHW","Basement","The cumulative volume of water flowing into the cold side of the plumbing distribution manifold starting at midnight","Gallons","DHW_ManifoldColdFlow","DHW"
"MixValve -Cold Flow","DHW","Basement","The cumulative volume of mains water flowing into the mixing valve that is positioned downstream of the solar thermal storage tank starting at midnight","Gallons","DHW_MixValveColdFlow","DHW"
"Clothes Washer Ð Hot Flow","DHW","Utility","The cumulative volume of hot water flowing into the clothes washer starting at midnight","Gallons","DHW_ClothesWasherHotFlow","DHW"
"Clothes Washer Ð Cold Flow","DHW","Utility","The cumulative volume of cold water flowing into the clothes washer starting at midnight","Gallons","DHW_ClothesWasherColdFlow","DHW"
"Dishwasher Ð Hot Flow","DHW","Kitchen","The cumulative volume of hot water flowing into the dishwasher starting at midnight","Gallons","DHW_DishwasherHotFlow","DHW"
"Room Temp Ð Basement HPWH","DHW","Basement","The dry bulb air temperature located two feet from the surface of the heat pump water heater at a vertical distance halfway up the tank","¡C","DHW_RoomTempBasementHPWH","DHW"
"Water Temp Ð Manifold Cold In","DHW","Basement","The instantaneous temperature of the water entering the cold side of the plumbing manifold","¡C","DHW_WaterTempManifoldColdIn","DHW"
"Water Temp Ð Manifold Hot In","DHW","Basement","The instantaneous temperature of the water entering the hot side of the plumbing manifold","¡C","DHW_WaterTempManifoldHotIn","DHW"
"Water Temp Ð K Sink - Cold","DHW","Kitchen","The instantaneous temperature of the water in the cold water line at the kitchen sink","¡C","DHW_WaterTempKSinkCold","DHW"
"Water Temp Ð K Sink - Hot","DHW","Kitchen","The instantaneous temperature of the water in the hot water line at the kitchen sink","¡C","DHW_WaterTempKSinkHot","DHW"
"Water Temp - Dishwasher","DHW","Kitchen","The instantaneous temperature of the water in the hot water line at the dishwasher","¡C","DHW_WaterTempDishwasher","DHW"
"Water Temp Ð Washer Cold","DHW","Utility","The instantaneous temperature of the water in the cold water line at the clothes washer","¡C","DHW_WaterTempWasherCold","DHW"
"Water Temp - Washer Hot","DHW","Utility","The instantaneous temperature of the water in the hot water line at the clothes washer","¡C","DHW_WaterTempWasherHot","DHW"
"Water Temp Ð MBA SinkR Hot","DHW","MBath","The instantaneous temperature of the water in the hot water line at the right sink in the Master Bathroom","¡C","DHW_WaterTempMBASinkRHot","DHW"
"Water Temp Ð MBA SinkR Cold","DHW","MBath","The instantaneous temperature of the water in the cold water line at the right sink in the Master Bathroom","¡C","DHW_WaterTempMBASinkRCold","DHW"
"Water Temp Ð MBA Shw Hot","DHW","MBath","The instantaneous temperature of the water in the hot water line at the shower in the Master Bathroom","¡C","DHW_WaterTempMBAShwHot","DHW"
"Water Temp Ð MBA Shw Cold","DHW","MBath","The instantaneous temperature of the water in the cold water line at the shower in the Master Bathroom","¡C","DHW_WaterTempMBAShwCold","DHW"
"Water Temp Ð MBA Tub Hot","DHW","MBath","The instantaneous temperature of the water in the hot water line at the tub in the Master Bathroom","¡C","DHW_WaterTempMBATubHot","DHW"
"Water Temp Ð MBA Tub Cold","DHW","MBath","The instantaneous temperature of the water in the cold water line at the tub in the Master Bathroom","¡C","DHW_WaterTempMBATubCold","DHW"
"Water Temp Ð BA2 Sink Hot","DHW","Bath2","The instantaneous temperature of the water in the hot water line at the sink in the bathroom located off the hallway on the second floor","¡C","DHW_WaterTempBA2SinkHot","DHW"
"Water Temp Ð BA2 Sink Cold","DHW","Bath2","The instantaneous temperature of the water in the cold water line at the sink in the bathroom located off the hallway on the second floor","¡C","DHW_WaterTempBA2SinkCold","DHW"
"Water Temp Ð BA2 Shw Hot","DHW","Bath2","The instantaneous temperature of the water in the hot water line at the shower in the bathroom located off the hallway on the second floor","¡C","DHW_WaterTempBA2ShwHot","DHW"
"Water Temp Ð BA2 Shw Cold","DHW","Bath2","The instantaneous temperature of the water in the cold water line at the shower in the bathroom located off the hallway on the second floor","¡C","DHW_WaterTempBA2ShwCold","DHW"
