"Variable","Subsystem","Measurement_Location","Parameter","Description","Units","max_value","min_value","Aggregation_Method"
"DayOfWeek",NA,NA,NA,NA,"Date/Time",7,1,NA
"DHW_ClothesWasherColdFlow","DHW","Utility","Flow_Water","The cumulative volume of cold water flowing into the clothes washer starting at midnight","Gallons",26.5653,0,"Hour value"
"DHW_ClothesWasherHotFlow","DHW","Utility","Flow_Water","The cumulative volume of hot water flowing into the clothes washer starting at midnight","Gallons",4.28,0,"Hour value"
"DHW_DishwasherHotFlow","DHW","Kitchen","Flow_Water","The cumulative volume of hot water flowing into the dishwasher starting at midnight","Gallons",3.7648,0,"Hour value"
"DHW_HeatPumpWaterHeaterEnergyTotal","DHW","Basement","Energy_Electrical","Cumulative energy consumption by heat pump water heater starting from midnight","Wh",7591.3666,0,"Hour value"
"DHW_HeatPumpWaterHeaterPowerTotal","DHW","Basement","Power_Electrical","Instantaneous power consumption by heat pump water heater","W",4153.2227,6.92,"Average"
"DHW_ManifoldColdFlow","DHW","Basement","Flow_Water","The cumulative volume of water flowing into the cold side of the plumbing distribution manifold starting at midnight","Gallons",54.6931,0,"Hour value"
"DHW_ManifoldHotFlow","DHW","Basement","Flow_Water","The cumulative volume of water flowing into the hot side of the plumbing distribution manifold starting at midnight","Gallons",80.3472,0,"Hour value"
"DHW_MixValveColdFlow","DHW","Basement","Flow_Water","The cumulative volume of mains water flowing into the mixing valve that is positioned downstream of the solar thermal storage tank starting at midnight","Gallons",20.2509,0,"Hour value"
"DHW_RoomTempBasementHPWH","DHW","Basement","Temp_Air","The dry bulb air temperature located two feet from the surface of the heat pump water heater at a vertical distance halfway up the tank","degrees C",23.61,0,"Average"
"DHW_SHWGlycolTempIn","DHW","Basement","Temp_Glycol","The instantaneous temperature of the glycol-water solution on the inlet side of the heat exchanger of the solar water heating system (from the solar panels)","degrees C",92.2068,-66404.633,"Average"
"DHW_SHWGlycolTempOut","DHW","Basement","Temp_Glycol","The instantaneous temperature of the glycol-water solution on the outlet side of the heat exchanger of the solar water heating system (returning to the solar panels)","degrees C",77.1463,0,"Average"
"DHW_SHWPumpsEnergywithStandby","DHW","Basement","Energy_Electrical","Cumulative energy consumption by solar water heating system pumps starting from midnight","Wh",1603.2064,0,"Hour value"
"DHW_SHWPumpsPowerWithStandby","DHW","Basement","Power_Electrical","Instantaneous power consumption by solar water heating system pumps","W",1464.6141,0.9142,"Average"
"DHW_StatusSolenoidColdKitchenSink","DHW","Kitchen","Status_OnOff","Number to indicate whether cold water is flowing in kitchen sink (1: Yes, O: No)","Binary Status",1,0,"Average"
"DHW_StatusSolenoidColdMBAShower","DHW","MBath","Status_OnOff","Number to indicate whether cold water is flowing in master bath shower (1: Yes, O: No)","Binary Status",1,0,"Average"
"DHW_StatusSolenoidColdMBATub","DHW","MBath","Status_OnOff","Number to indicate whether cold water is flowing in master bath tub (1: Yes, O: No)","Binary Status",1,0,"Average"
