Data Label,Subsystem,Measurement Location ,Description,Units
Manifold-Hot Flow,DHW,Basement,The cumulative volume of water flowing into the hot side of the plumbing distribution manifold starting at midnight,Gallons
Manifold-Cold Flow,DHW,Basement,The cumulative volume of water flowing into the cold side of the plumbing distribution manifold starting at midnight,Gallons
MixValve -Cold Flow,DHW,Basement,The cumulative volume of mains water flowing into the mixing valve that is positioned downstream of the solar thermal storage tank starting at midnight,Gallons
Clothes Washer – Hot Flow,DHW,Utility,The cumulative volume of hot water flowing into the clothes washer starting at midnight,Gallons
Clothes Washer – Cold Flow,DHW,Utility,The cumulative volume of cold water flowing into the clothes washer starting at midnight,Gallons
Dishwasher – Hot Flow,DHW,Kitchen,The cumulative volume of hot water flowing into the dishwasher starting at midnight,Gallons
Room Temp – Basement HPWH,DHW,Basement,The dry bulb air temperature located two feet from the surface of the heat pump water heater at a vertical distance halfway up the tank,°C
Water Temp – Manifold Cold In,DHW,Basement,The instantaneous temperature of the water entering the cold side of the plumbing manifold,°C
Water Temp – Manifold Hot In,DHW,Basement,The instantaneous temperature of the water entering the hot side of the plumbing manifold,°C
Water Temp – K Sink - Cold,DHW,Kitchen,The instantaneous temperature of the water in the cold water line at the kitchen sink,°C
Water Temp – K Sink - Hot,DHW,Kitchen,The instantaneous temperature of the water in the hot water line at the kitchen sink,°C
Water Temp - Dishwasher,DHW,Kitchen,The instantaneous temperature of the water in the hot water line at the dishwasher,°C
Water Temp – Washer Cold,DHW,Utility,The instantaneous temperature of the water in the cold water line at the clothes washer,°C
Water Temp - Washer Hot,DHW,Utility,The instantaneous temperature of the water in the hot water line at the clothes washer,°C
,,,,
Water Temp – MBA SinkR Hot,DHW,MBath,The instantaneous temperature of the water in the hot water line at the right sink in the Master Bathroom,°C
,,,,
Water Temp – MBA SinkR Cold,DHW,MBath,The instantaneous temperature of the water in the cold water line at the right sink in the Master Bathroom,°C
,,,,
Water Temp – MBA Shw Hot,DHW,MBath,The instantaneous temperature of the water in the hot water line at the shower in the Master Bathroom,°C
,,,,
Water Temp – MBA Shw Cold,DHW,MBath,The instantaneous temperature of the water in the cold water line at the shower in the Master Bathroom,°C
Water Temp – MBA Tub Hot,DHW,MBath,The instantaneous temperature of the water in the hot water line at the tub in the Master Bathroom,°C
Water Temp – MBA Tub Cold,DHW,MBath,The instantaneous temperature of the water in the cold water line at the tub in the Master Bathroom,°C
Water Temp – BA2 Sink Hot,DHW,Bath2,The instantaneous temperature of the water in the hot water line at the sink in the bathroom located off the hallway on the second floor,°C
Water Temp – BA2 Sink Cold,DHW,Bath2,The instantaneous temperature of the water in the cold water line at the sink in the bathroom located off the hallway on the second floor,°C
Water Temp – BA2 Shw Hot,DHW,Bath2,The instantaneous temperature of the water in the hot water line at the shower in the bathroom located off the hallway on the second floor,°C
Water Temp – BA2 Shw Cold,DHW,Bath2,The instantaneous temperature of the water in the cold water line at the shower in the bathroom located off the hallway on the second floor,°C
Water Temp – K Sink - Mix,DHW,Kitchen,The instantaneous temperature of the water in the kitchen sink faucet after the mixing valve,°C
Water Temp – MBA Shw Mix,DHW,MBath,The instantaneous temperature of the water in the master bath shower after the mixing valve,°C
Water Temp – MBA Tub Mix,DHW,MBath,The instantaneous temperature of the water in the tub faucet after the mixing valve,°C
Water Temp – BA2 Sink Mixed,DHW,Bath2,The instantaneous temperature of the water in the sink faucet of the bathroom located off the hallway on the second floor after the mixing valve,°C
Water Temp – BA2 Shower Mixed,DHW,Bath2,The instantaneous temperature of the water in the shower faucet of the bathroom located off the hallway on the second floor after the mixing valve,°C
Water Temp – MBA Sink-R Mixed,DHW,MBath,The instantaneous temperature of the water in the master bath sink located on the right after the mixing valve,°C
Water Temp – Solar Preheat Tank (80 gal) In,DHW,Basement,The instantaneous temperature of the water entering the 80 gallon solar preheat tank,°C
,,,,
Water Temp – Solar Preheat Tank (80 gal) Out,DHW,Basement,The instantaneous temperature of the water leaving the 80 gallon solar preheat tank,°C
Water Temp - MixValve Cold In,DHW,Basement,The instantaneous temperature of the water from the main entering the mixing valve downstream of the solar preheat tank,°C
,,,,
Water Temp - MixValve Hot In,DHW,Basement,The instantaneous temperature of the water from the solar preheat tank entering the mixing valve downstream of that tank,°C
Water Temp - SHW HX (80 gal) HX In,DHW,Basement,The instantaneous temperature of the potable water on the inlet side of the heat exchanger of the solar water heating system (from the storage tank),°C
